date,seq,value,x,y,z
2005/1/13,2005013,850,8,5,0
2005/1/14,2005014,53,0,5,3
2005/1/15,2005015,438,4,3,8
2005/1/16,2005016,107,1,0,7
2005/1/17,2005017,802,8,0,2
2005/1/18,2005018,715,7,1,5
2005/1/19,2005019,803,8,0,3
2005/1/20,2005020,766,7,6,6
2005/1/21,2005021,75,0,7,5
2005/1/22,2005022,313,3,1,3
2005/1/23,2005023,405,4,0,5
2005/1/24,2005024,271,2,7,1
2005/1/25,2005025,985,9,8,5
2005/1/26,2005026,339,3,3,9
2005/1/27,2005027,925,9,2,5
2005/1/28,2005028,389,3,8,9
2005/1/29,2005029,717,7,1,7
2005/1/30,2005030,827,8,2,7
2005/1/31,2005031,699,6,9,9
2005/2/1,2005032,853,8,5,3
2005/2/2,2005033,881,8,8,1
2005/2/3,2005034,151,1,5,1
2005/2/4,2005035,599,5,9,9
2005/2/5,2005036,275,2,7,5
2005/2/6,2005037,74,0,7,4
2005/2/7,2005038,631,6,3,1
2005/2/8,2005039,86,0,8,6
2005/2/16,2005040,723,7,2,3
2005/2/17,2005041,700,7,0,0
2005/2/18,2005042,466,4,6,6
2005/2/19,2005043,942,9,4,2
2005/2/20,2005044,934,9,3,4
2005/2/21,2005045,28,0,2,8
2005/2/22,2005046,488,4,8,8
2005/2/23,2005047,710,7,1,0
2005/2/24,2005048,5,0,0,5
2005/2/25,2005049,784,7,8,4
2005/2/26,2005050,272,2,7,2
2005/2/27,2005051,830,8,3,0
2005/2/28,2005052,493,4,9,3
2005/3/1,2005053,142,1,4,2
2005/3/2,2005054,307,3,0,7
2005/3/3,2005055,58,0,5,8
2005/3/4,2005056,257,2,5,7
2005/3/5,2005057,81,0,8,1
2005/3/6,2005058,195,1,9,5
2005/3/7,2005059,542,5,4,2
2005/3/8,2005060,717,7,1,7
2005/3/9,2005061,245,2,4,5
2005/3/10,2005062,311,3,1,1
2005/3/11,2005063,959,9,5,9
2005/3/12,2005064,600,6,0,0
2005/3/13,2005065,467,4,6,7
2005/3/14,2005066,787,7,8,7
2005/3/15,2005067,875,8,7,5
2005/3/16,2005068,958,9,5,8
2005/3/17,2005069,169,1,6,9
2005/3/18,2005070,854,8,5,4
2005/3/19,2005071,555,5,5,5
2005/3/20,2005072,595,5,9,5
2005/3/21,2005073,458,4,5,8
2005/3/22,2005074,58,0,5,8
2005/3/23,2005075,144,1,4,4
2005/3/24,2005076,53,0,5,3
2005/3/25,2005077,944,9,4,4
2005/3/26,2005078,969,9,6,9
2005/3/27,2005079,295,2,9,5
2005/3/28,2005080,553,5,5,3
2005/3/29,2005081,808,8,0,8
2005/3/30,2005082,212,2,1,2
2005/3/31,2005083,666,6,6,6
2005/4/1,2005084,880,8,8,0
2005/4/2,2005085,416,4,1,6
2005/4/3,2005086,228,2,2,8
2005/4/4,2005087,157,1,5,7
2005/4/5,2005088,571,5,7,1
2005/4/6,2005089,885,8,8,5
2005/4/7,2005090,217,2,1,7
2005/4/8,2005091,115,1,1,5
2005/4/9,2005092,816,8,1,6
2005/4/10,2005093,660,6,6,0
2005/4/11,2005094,171,1,7,1
2005/4/12,2005095,22,0,2,2
2005/4/13,2005096,606,6,0,6
2005/4/14,2005097,665,6,6,5
2005/4/15,2005098,63,0,6,3
2005/4/16,2005099,422,4,2,2
2005/4/17,2005100,549,5,4,9
2005/4/18,2005101,307,3,0,7
2005/4/19,2005102,671,6,7,1
2005/4/20,2005103,45,0,4,5
2005/4/21,2005104,869,8,6,9
2005/4/22,2005105,240,2,4,0
2005/4/23,2005106,669,6,6,9
2005/4/24,2005107,609,6,0,9
2005/4/25,2005108,203,2,0,3
2005/4/26,2005109,630,6,3,0
2005/4/27,2005110,851,8,5,1
2005/4/28,2005111,79,0,7,9
2005/4/29,2005112,529,5,2,9
2005/4/30,2005113,380,3,8,0
2005/5/1,2005114,367,3,6,7
2005/5/2,2005115,880,8,8,0
2005/5/3,2005116,830,8,3,0
2005/5/4,2005117,130,1,3,0
2005/5/5,2005118,916,9,1,6
2005/5/6,2005119,102,1,0,2
2005/5/7,2005120,502,5,0,2
2005/5/8,2005121,53,0,5,3
2005/5/9,2005122,275,2,7,5
2005/5/10,2005123,34,0,3,4
2005/5/11,2005124,333,3,3,3
2005/5/12,2005125,5,0,0,5
2005/5/13,2005126,594,5,9,4
2005/5/14,2005127,482,4,8,2
2005/5/15,2005128,596,5,9,6
2005/5/16,2005129,573,5,7,3
2005/5/17,2005130,131,1,3,1
2005/5/18,2005131,796,7,9,6
2005/5/19,2005132,180,1,8,0
2005/5/20,2005133,964,9,6,4
2005/5/21,2005134,899,8,9,9
2005/5/22,2005135,936,9,3,6
2005/5/23,2005136,489,4,8,9
2005/5/24,2005137,52,0,5,2
2005/5/25,2005138,167,1,6,7
2005/5/26,2005139,667,6,6,7
2005/5/27,2005140,572,5,7,2
2005/5/28,2005141,663,6,6,3
2005/5/29,2005142,306,3,0,6
2005/5/30,2005143,105,1,0,5
2005/5/31,2005144,494,4,9,4
2005/6/1,2005145,943,9,4,3
2005/6/2,2005146,477,4,7,7
2005/6/3,2005147,965,9,6,5
2005/6/4,2005148,168,1,6,8
2005/6/5,2005149,774,7,7,4
2005/6/6,2005150,950,9,5,0
2005/6/7,2005151,312,3,1,2
2005/6/8,2005152,949,9,4,9
2005/6/9,2005153,369,3,6,9
2005/6/10,2005154,319,3,1,9
2005/6/11,2005155,749,7,4,9
2005/6/12,2005156,430,4,3,0
2005/6/13,2005157,590,5,9,0
2005/6/14,2005158,60,0,6,0
2005/6/15,2005159,996,9,9,6
2005/6/16,2005160,791,7,9,1
2005/6/17,2005161,488,4,8,8
2005/6/18,2005162,516,5,1,6
2005/6/19,2005163,586,5,8,6
2005/6/20,2005164,361,3,6,1
2005/6/21,2005165,249,2,4,9
2005/6/22,2005166,775,7,7,5
2005/6/23,2005167,300,3,0,0
2005/6/24,2005168,664,6,6,4
2005/6/25,2005169,238,2,3,8
2005/6/26,2005170,214,2,1,4
2005/6/27,2005171,558,5,5,8
2005/6/28,2005172,370,3,7,0
2005/6/29,2005173,791,7,9,1
2005/6/30,2005174,609,6,0,9
2005/7/1,2005175,813,8,1,3
2005/7/2,2005176,517,5,1,7
2005/7/3,2005177,251,2,5,1
2005/7/4,2005178,75,0,7,5
2005/7/5,2005179,123,1,2,3
2005/7/6,2005180,268,2,6,8
2005/7/7,2005181,73,0,7,3
2005/7/8,2005182,433,4,3,3
2005/7/9,2005183,153,1,5,3
2005/7/10,2005184,918,9,1,8
2005/7/11,2005185,810,8,1,0
2005/7/12,2005186,756,7,5,6
2005/7/13,2005187,332,3,3,2
2005/7/14,2005188,818,8,1,8
2005/7/15,2005189,927,9,2,7
2005/7/16,2005190,322,3,2,2
2005/7/17,2005191,798,7,9,8
2005/7/18,2005192,353,3,5,3
2005/7/19,2005193,710,7,1,0
2005/7/20,2005194,842,8,4,2
2005/7/21,2005195,830,8,3,0
2005/7/22,2005196,654,6,5,4
2005/7/23,2005197,734,7,3,4
2005/7/24,2005198,328,3,2,8
2005/7/25,2005199,214,2,1,4
2005/7/26,2005200,667,6,6,7
2005/7/27,2005201,380,3,8,0
2005/7/28,2005202,612,6,1,2
2005/7/29,2005203,877,8,7,7
2005/7/30,2005204,73,0,7,3
2005/7/31,2005205,164,1,6,4
2005/8/1,2005206,859,8,5,9
2005/8/2,2005207,129,1,2,9
2005/8/3,2005208,598,5,9,8
2005/8/4,2005209,166,1,6,6
2005/8/5,2005210,74,0,7,4
2005/8/6,2005211,404,4,0,4
2005/8/7,2005212,994,9,9,4
2005/8/8,2005213,424,4,2,4
2005/8/9,2005214,961,9,6,1
2005/8/10,2005215,2,0,0,2
2005/8/11,2005216,951,9,5,1
2005/8/12,2005217,964,9,6,4
2005/8/13,2005218,892,8,9,2
2005/8/14,2005219,13,0,1,3
2005/8/15,2005220,158,1,5,8
2005/8/16,2005221,989,9,8,9
2005/8/17,2005222,788,7,8,8
2005/8/18,2005223,807,8,0,7
2005/8/19,2005224,794,7,9,4
2005/8/20,2005225,260,2,6,0
2005/8/21,2005226,603,6,0,3
2005/8/22,2005227,455,4,5,5
2005/8/23,2005228,209,2,0,9
2005/8/24,2005229,139,1,3,9
2005/8/25,2005230,483,4,8,3
2005/8/26,2005231,630,6,3,0
2005/8/27,2005232,175,1,7,5
2005/8/28,2005233,933,9,3,3
2005/8/29,2005234,890,8,9,0
2005/8/30,2005235,134,1,3,4
2005/8/31,2005236,495,4,9,5
2005/9/1,2005237,767,7,6,7
2005/9/2,2005238,18,0,1,8
2005/9/3,2005239,901,9,0,1
2005/9/4,2005240,871,8,7,1
2005/9/5,2005241,126,1,2,6
2005/9/6,2005242,592,5,9,2
2005/9/7,2005243,103,1,0,3
2005/9/8,2005244,331,3,3,1
2005/9/9,2005245,977,9,7,7
2005/9/10,2005246,519,5,1,9
2005/9/11,2005247,574,5,7,4
2005/9/12,2005248,900,9,0,0
2005/9/13,2005249,692,6,9,2
2005/9/14,2005250,434,4,3,4
2005/9/15,2005251,506,5,0,6
2005/9/16,2005252,557,5,5,7
2005/9/17,2005253,163,1,6,3
2005/9/18,2005254,425,4,2,5
2005/9/19,2005255,41,0,4,1
2005/9/20,2005256,751,7,5,1
2005/9/21,2005257,285,2,8,5
2005/9/22,2005258,894,8,9,4
2005/9/23,2005259,348,3,4,8
2005/9/24,2005260,158,1,5,8
2005/9/25,2005261,542,5,4,2
2005/9/26,2005262,203,2,0,3
2005/9/27,2005263,617,6,1,7
2005/9/28,2005264,393,3,9,3
2005/9/29,2005265,336,3,3,6
2005/9/30,2005266,952,9,5,2
2005/10/1,2005267,316,3,1,6
2005/10/2,2005268,927,9,2,7
2005/10/3,2005269,940,9,4,0
2005/10/4,2005270,396,3,9,6
2005/10/5,2005271,528,5,2,8
2005/10/6,2005272,290,2,9,0
2005/10/7,2005273,209,2,0,9
2005/10/8,2005274,262,2,6,2
2005/10/9,2005275,925,9,2,5
2005/10/10,2005276,783,7,8,3
2005/10/11,2005277,59,0,5,9
2005/10/12,2005278,149,1,4,9
2005/10/13,2005279,714,7,1,4
2005/10/14,2005280,41,0,4,1
2005/10/15,2005281,762,7,6,2
2005/10/16,2005282,271,2,7,1
2005/10/17,2005283,214,2,1,4
2005/10/18,2005284,220,2,2,0
2005/10/19,2005285,478,4,7,8
2005/10/20,2005286,516,5,1,6
2005/10/21,2005287,335,3,3,5
2005/10/22,2005288,185,1,8,5
2005/10/23,2005289,28,0,2,8
2005/10/24,2005290,823,8,2,3
2005/10/25,2005291,227,2,2,7
2005/10/26,2005292,428,4,2,8
2005/10/27,2005293,455,4,5,5
2005/10/28,2005294,833,8,3,3
2005/10/29,2005295,914,9,1,4
2005/10/30,2005296,531,5,3,1
2005/10/31,2005297,753,7,5,3
2005/11/1,2005298,713,7,1,3
2005/11/2,2005299,138,1,3,8
2005/11/3,2005300,895,8,9,5
2005/11/4,2005301,650,6,5,0
2005/11/5,2005302,456,4,5,6
2005/11/6,2005303,540,5,4,0
2005/11/7,2005304,332,3,3,2
2005/11/8,2005305,806,8,0,6
2005/11/9,2005306,550,5,5,0
2005/11/10,2005307,598,5,9,8
2005/11/11,2005308,868,8,6,8
2005/11/12,2005309,699,6,9,9
2005/11/13,2005310,288,2,8,8
2005/11/14,2005311,809,8,0,9
2005/11/15,2005312,313,3,1,3
2005/11/16,2005313,789,7,8,9
2005/11/17,2005314,705,7,0,5
2005/11/18,2005315,198,1,9,8
2005/11/19,2005316,272,2,7,2
2005/11/20,2005317,851,8,5,1
2005/11/21,2005318,793,7,9,3
2005/11/22,2005319,369,3,6,9
2005/11/23,2005320,922,9,2,2
2005/11/24,2005321,24,0,2,4
2005/11/25,2005322,583,5,8,3
2005/11/26,2005323,162,1,6,2
2005/11/27,2005324,139,1,3,9
2005/11/28,2005325,212,2,1,2
2005/11/29,2005326,874,8,7,4
2005/11/30,2005327,97,0,9,7
2005/12/1,2005328,9,0,0,9
2005/12/2,2005329,900,9,0,0
2005/12/3,2005330,905,9,0,5
2005/12/4,2005331,176,1,7,6
2005/12/5,2005332,208,2,0,8
2005/12/6,2005333,540,5,4,0
2005/12/7,2005334,827,8,2,7
2005/12/8,2005335,218,2,1,8
2005/12/9,2005336,248,2,4,8
2005/12/10,2005337,539,5,3,9
2005/12/11,2005338,493,4,9,3
2005/12/12,2005339,437,4,3,7
2005/12/13,2005340,998,9,9,8
2005/12/14,2005341,467,4,6,7
2005/12/15,2005342,864,8,6,4
2005/12/16,2005343,895,8,9,5
2005/12/17,2005344,381,3,8,1
2005/12/18,2005345,924,9,2,4
2005/12/19,2005346,139,1,3,9
2005/12/20,2005347,272,2,7,2
2005/12/21,2005348,38,0,3,8
2005/12/22,2005349,14,0,1,4
2005/12/23,2005350,969,9,6,9
2005/12/24,2005351,173,1,7,3
2005/12/25,2005352,540,5,4,0
2005/12/26,2005353,536,5,3,6
2005/12/27,2005354,726,7,2,6
2005/12/28,2005355,468,4,6,8
2005/12/29,2005356,681,6,8,1
2005/12/30,2005357,429,4,2,9
2005/12/31,2005358,842,8,4,2
2006/1/1,2006001,160,1,6,0
2006/1/2,2006002,110,1,1,0
2006/1/3,2006003,229,2,2,9
2006/1/4,2006004,614,6,1,4
2006/1/5,2006005,877,8,7,7
2006/1/6,2006006,713,7,1,3
2006/1/7,2006007,746,7,4,6
2006/1/8,2006008,179,1,7,9
2006/1/9,2006009,349,3,4,9
2006/1/10,2006010,624,6,2,4
2006/1/11,2006011,634,6,3,4
2006/1/12,2006012,98,0,9,8
2006/1/13,2006013,848,8,4,8
2006/1/14,2006014,400,4,0,0
2006/1/15,2006015,800,8,0,0
2006/1/16,2006016,481,4,8,1
2006/1/17,2006017,878,8,7,8
2006/1/18,2006018,884,8,8,4
2006/1/19,2006019,497,4,9,7
2006/1/20,2006020,661,6,6,1
2006/1/21,2006021,51,0,5,1
2006/1/22,2006022,900,9,0,0
2006/1/23,2006023,515,5,1,5
2006/1/24,2006024,686,6,8,6
2006/1/25,2006025,141,1,4,1
2006/1/26,2006026,497,4,9,7
2006/1/27,2006027,460,4,6,0
2006/2/5,2006028,28,0,2,8
2006/2/6,2006029,403,4,0,3
2006/2/7,2006030,964,9,6,4
2006/2/8,2006031,409,4,0,9
2006/2/9,2006032,930,9,3,0
2006/2/10,2006033,667,6,6,7
2006/2/11,2006034,314,3,1,4
2006/2/12,2006035,848,8,4,8
2006/2/13,2006036,891,8,9,1
2006/2/14,2006037,697,6,9,7
2006/2/15,2006038,715,7,1,5
2006/2/16,2006039,446,4,4,6
2006/2/17,2006040,463,4,6,3
2006/2/18,2006041,594,5,9,4
2006/2/19,2006042,710,7,1,0
2006/2/20,2006043,116,1,1,6
2006/2/21,2006044,69,0,6,9
2006/2/22,2006045,846,8,4,6
2006/2/23,2006046,21,0,2,1
2006/2/24,2006047,469,4,6,9
2006/2/25,2006048,138,1,3,8
2006/2/26,2006049,566,5,6,6
2006/2/27,2006050,153,1,5,3
2006/2/28,2006051,225,2,2,5
2006/3/1,2006052,771,7,7,1
2006/3/2,2006053,306,3,0,6
2006/3/3,2006054,835,8,3,5
2006/3/4,2006055,576,5,7,6
2006/3/5,2006056,777,7,7,7
2006/3/6,2006057,666,6,6,6
2006/3/7,2006058,128,1,2,8
2006/3/8,2006059,52,0,5,2
2006/3/9,2006060,985,9,8,5
2006/3/10,2006061,309,3,0,9
2006/3/11,2006062,708,7,0,8
2006/3/12,2006063,817,8,1,7
2006/3/13,2006064,936,9,3,6
2006/3/14,2006065,542,5,4,2
2006/3/15,2006066,277,2,7,7
2006/3/16,2006067,305,3,0,5
2006/3/17,2006068,490,4,9,0
2006/3/18,2006069,396,3,9,6
2006/3/19,2006070,929,9,2,9
2006/3/20,2006071,130,1,3,0
2006/3/21,2006072,419,4,1,9
2006/3/22,2006073,731,7,3,1
2006/3/23,2006074,306,3,0,6
2006/3/24,2006075,274,2,7,4
2006/3/25,2006076,401,4,0,1
2006/3/26,2006077,715,7,1,5
2006/3/27,2006078,321,3,2,1
2006/3/28,2006079,403,4,0,3
2006/3/29,2006080,802,8,0,2
2006/3/30,2006081,976,9,7,6
2006/3/31,2006082,967,9,6,7
2006/4/1,2006083,761,7,6,1
2006/4/2,2006084,737,7,3,7
2006/4/3,2006085,294,2,9,4
2006/4/4,2006086,756,7,5,6
2006/4/5,2006087,160,1,6,0
2006/4/6,2006088,960,9,6,0
2006/4/7,2006089,910,9,1,0
2006/4/8,2006090,467,4,6,7
2006/4/9,2006091,101,1,0,1
2006/4/10,2006092,175,1,7,5
2006/4/11,2006093,605,6,0,5
2006/4/12,2006094,304,3,0,4
2006/4/13,2006095,237,2,3,7
2006/4/14,2006096,149,1,4,9
2006/4/15,2006097,823,8,2,3
2006/4/16,2006098,203,2,0,3
2006/4/17,2006099,596,5,9,6
2006/4/18,2006100,661,6,6,1
2006/4/19,2006101,708,7,0,8
2006/4/20,2006102,40,0,4,0
2006/4/21,2006103,455,4,5,5
2006/4/22,2006104,923,9,2,3
2006/4/23,2006105,883,8,8,3
2006/4/24,2006106,478,4,7,8
2006/4/25,2006107,86,0,8,6
2006/4/26,2006108,8,0,0,8
2006/4/27,2006109,860,8,6,0
2006/4/28,2006110,724,7,2,4
2006/4/29,2006111,594,5,9,4
2006/4/30,2006112,440,4,4,0
2006/5/1,2006113,86,0,8,6
2006/5/2,2006114,913,9,1,3
2006/5/3,2006115,442,4,4,2
2006/5/4,2006116,52,0,5,2
2006/5/5,2006117,332,3,3,2
2006/5/6,2006118,355,3,5,5
2006/5/7,2006119,454,4,5,4
2006/5/8,2006120,166,1,6,6
2006/5/9,2006121,217,2,1,7
2006/5/10,2006122,940,9,4,0
2006/5/11,2006123,84,0,8,4
2006/5/12,2006124,812,8,1,2
2006/5/13,2006125,711,7,1,1
2006/5/14,2006126,133,1,3,3
2006/5/15,2006127,931,9,3,1
2006/5/16,2006128,858,8,5,8
2006/5/17,2006129,880,8,8,0
2006/5/18,2006130,36,0,3,6
2006/5/19,2006131,999,9,9,9
2006/5/20,2006132,714,7,1,4
2006/5/21,2006133,15,0,1,5
2006/5/22,2006134,292,2,9,2
2006/5/23,2006135,171,1,7,1
2006/5/24,2006136,141,1,4,1
2006/5/25,2006137,351,3,5,1
2006/5/26,2006138,128,1,2,8
2006/5/27,2006139,462,4,6,2
2006/5/28,2006140,363,3,6,3
2006/5/29,2006141,688,6,8,8
2006/5/30,2006142,435,4,3,5
2006/5/31,2006143,582,5,8,2
2006/6/1,2006144,626,6,2,6
2006/6/2,2006145,384,3,8,4
2006/6/3,2006146,364,3,6,4
2006/6/4,2006147,195,1,9,5
2006/6/5,2006148,654,6,5,4
2006/6/6,2006149,286,2,8,6
2006/6/7,2006150,848,8,4,8
2006/6/8,2006151,209,2,0,9
2006/6/9,2006152,377,3,7,7
2006/6/10,2006153,14,0,1,4
2006/6/11,2006154,960,9,6,0
2006/6/12,2006155,31,0,3,1
2006/6/13,2006156,134,1,3,4
2006/6/14,2006157,892,8,9,2
2006/6/15,2006158,275,2,7,5
2006/6/16,2006159,72,0,7,2
2006/6/17,2006160,803,8,0,3
2006/6/18,2006161,75,0,7,5
2006/6/19,2006162,348,3,4,8
2006/6/20,2006163,368,3,6,8
2006/6/21,2006164,132,1,3,2
2006/6/22,2006165,127,1,2,7
2006/6/23,2006166,426,4,2,6
2006/6/24,2006167,95,0,9,5
2006/6/25,2006168,519,5,1,9
2006/6/26,2006169,690,6,9,0
2006/6/27,2006170,407,4,0,7
2006/6/28,2006171,114,1,1,4
2006/6/29,2006172,50,0,5,0
2006/6/30,2006173,900,9,0,0
2006/7/1,2006174,357,3,5,7
2006/7/2,2006175,83,0,8,3
2006/7/3,2006176,361,3,6,1
2006/7/4,2006177,867,8,6,7
2006/7/5,2006178,577,5,7,7
2006/7/6,2006179,692,6,9,2
2006/7/7,2006180,207,2,0,7
2006/7/8,2006181,708,7,0,8
2006/7/9,2006182,949,9,4,9
2006/7/10,2006183,553,5,5,3
2006/7/11,2006184,608,6,0,8
2006/7/12,2006185,596,5,9,6
2006/7/13,2006186,215,2,1,5
2006/7/14,2006187,410,4,1,0
2006/7/15,2006188,363,3,6,3
2006/7/16,2006189,404,4,0,4
2006/7/17,2006190,453,4,5,3
2006/7/18,2006191,589,5,8,9
2006/7/19,2006192,211,2,1,1
2006/7/20,2006193,751,7,5,1
2006/7/21,2006194,510,5,1,0
2006/7/22,2006195,995,9,9,5
2006/7/23,2006196,328,3,2,8
2006/7/24,2006197,870,8,7,0
2006/7/25,2006198,1,0,0,1
2006/7/26,2006199,241,2,4,1
2006/7/27,2006200,673,6,7,3
2006/7/28,2006201,982,9,8,2
2006/7/29,2006202,842,8,4,2
2006/7/30,2006203,539,5,3,9
2006/7/31,2006204,820,8,2,0
2006/8/1,2006205,601,6,0,1
2006/8/2,2006206,557,5,5,7
2006/8/3,2006207,377,3,7,7
2006/8/4,2006208,138,1,3,8
2006/8/5,2006209,450,4,5,0
2006/8/6,2006210,85,0,8,5
2006/8/7,2006211,330,3,3,0
2006/8/8,2006212,683,6,8,3
2006/8/9,2006213,126,1,2,6
2006/8/10,2006214,666,6,6,6
2006/8/11,2006215,663,6,6,3
2006/8/12,2006216,334,3,3,4
2006/8/13,2006217,795,7,9,5
2006/8/14,2006218,440,4,4,0
2006/8/15,2006219,790,7,9,0
2006/8/16,2006220,253,2,5,3
2006/8/17,2006221,479,4,7,9
2006/8/18,2006222,718,7,1,8
2006/8/19,2006223,748,7,4,8
2006/8/20,2006224,39,0,3,9
2006/8/21,2006225,340,3,4,0
2006/8/22,2006226,685,6,8,5
2006/8/23,2006227,850,8,5,0
2006/8/24,2006228,559,5,5,9
2006/8/25,2006229,772,7,7,2
2006/8/26,2006230,279,2,7,9
2006/8/27,2006231,645,6,4,5
2006/8/28,2006232,727,7,2,7
2006/8/29,2006233,994,9,9,4
2006/8/30,2006234,666,6,6,6
2006/8/31,2006235,315,3,1,5
2006/9/1,2006236,251,2,5,1
2006/9/2,2006237,683,6,8,3
2006/9/3,2006238,165,1,6,5
2006/9/4,2006239,874,8,7,4
2006/9/5,2006240,72,0,7,2
2006/9/6,2006241,321,3,2,1
2006/9/7,2006242,433,4,3,3
2006/9/8,2006243,435,4,3,5
2006/9/9,2006244,76,0,7,6
2006/9/10,2006245,568,5,6,8
2006/9/11,2006246,410,4,1,0
2006/9/12,2006247,523,5,2,3
2006/9/13,2006248,998,9,9,8
2006/9/14,2006249,448,4,4,8
2006/9/15,2006250,411,4,1,1
2006/9/16,2006251,474,4,7,4
2006/9/17,2006252,68,0,6,8
2006/9/18,2006253,310,3,1,0
2006/9/19,2006254,23,0,2,3
2006/9/20,2006255,501,5,0,1
2006/9/21,2006256,266,2,6,6
2006/9/22,2006257,184,1,8,4
2006/9/23,2006258,158,1,5,8
2006/9/24,2006259,110,1,1,0
2006/9/25,2006260,241,2,4,1
2006/9/26,2006261,473,4,7,3
2006/9/27,2006262,457,4,5,7
2006/9/28,2006263,541,5,4,1
2006/9/29,2006264,520,5,2,0
2006/9/30,2006265,143,1,4,3
2006/10/1,2006266,973,9,7,3
2006/10/2,2006267,691,6,9,1
2006/10/3,2006268,440,4,4,0
2006/10/4,2006269,537,5,3,7
2006/10/5,2006270,83,0,8,3
2006/10/6,2006271,492,4,9,2
2006/10/7,2006272,857,8,5,7
2006/10/8,2006273,849,8,4,9
2006/10/9,2006274,426,4,2,6
2006/10/10,2006275,576,5,7,6
2006/10/11,2006276,935,9,3,5
2006/10/12,2006277,992,9,9,2
2006/10/13,2006278,793,7,9,3
2006/10/14,2006279,146,1,4,6
2006/10/15,2006280,50,0,5,0
2006/10/16,2006281,981,9,8,1
2006/10/17,2006282,43,0,4,3
2006/10/18,2006283,131,1,3,1
2006/10/19,2006284,160,1,6,0
2006/10/20,2006285,342,3,4,2
2006/10/21,2006286,921,9,2,1
2006/10/22,2006287,791,7,9,1
2006/10/23,2006288,316,3,1,6
2006/10/24,2006289,244,2,4,4
2006/10/25,2006290,918,9,1,8
2006/10/26,2006291,671,6,7,1
2006/10/27,2006292,566,5,6,6
2006/10/28,2006293,452,4,5,2
2006/10/29,2006294,152,1,5,2
2006/10/30,2006295,219,2,1,9
2006/10/31,2006296,519,5,1,9
2006/11/1,2006297,308,3,0,8
2006/11/2,2006298,363,3,6,3
2006/11/3,2006299,736,7,3,6
2006/11/4,2006300,846,8,4,6
2006/11/5,2006301,865,8,6,5
2006/11/6,2006302,237,2,3,7
